customer_id,age,gender,tenure,monthly_charges,contract_type,support_calls,internet_service,payment_method,total_charges,churn,age_group,tenure_group,churn_numeric,risk_score,risk_level
CUST-00001,56,Female,37,29.57,Two year,4,DSL,Electronic check,1094.09,No,56-65,25-48 Months,0,0,Low
CUST-00002,69,Male,19,101.78,One year,4,Fiber optic,Credit card,1933.82,Yes,66+,13-24 Months,1,1,Low
CUST-00003,46,Female,30,123.09,Month-to-month,3,DSL,Bank transfer,3692.7,Yes,46-55,25-48 Months,1,3,Medium
CUST-00004,32,Male,45,37.24,Two year,1,Fiber optic,Credit card,1675.8,No,26-35,25-48 Months,0,0,Low
CUST-00005,60,Female,18,87.42,Month-to-month,2,Fiber optic,Bank transfer,1573.56,No,56-65,13-24 Months,0,2,Low
CUST-00006,25,Male,62,121.28,Month-to-month,2,DSL,Bank transfer,7519.36,No,18-25,49-72 Months,0,3,Medium
CUST-00007,38,Female,36,53.88,One year,1,Fiber optic,Credit card,1939.68,No,36-45,25-48 Months,0,0,Low
CUST-00008,56,Female,52,41.18,Month-to-month,0,Fiber optic,Credit card,2141.36,No,56-65,49-72 Months,0,2,Low
CUST-00009,75,Female,19,63.79,One year,2,No,Mailed check,1212.01,No,66+,13-24 Months,0,0,Low
CUST-00010,36,Female,44,92.11,Month-to-month,1,Fiber optic,Mailed check,4052.84,No,36-45,25-48 Months,0,2,Low
CUST-00011,40,Female,7,94.79,Month-to-month,1,DSL,Bank transfer,663.53,Yes,36-45,7-12 Months,1,4,Medium
CUST-00012,28,Female,44,37.01,Month-to-month,3,Fiber optic,Mailed check,1628.44,No,26-35,25-48 Months,0,2,Low
CUST-00013,28,Female,68,79.48,One year,3,Fiber optic,Mailed check,5404.64,Yes,26-35,49-72 Months,1,0,Low
CUST-00014,41,Female,34,54.88,Month-to-month,2,No,Bank transfer,1865.92,No,36-45,25-48 Months,0,2,Low
CUST-00015,70,Female,66,129.46,Two year,2,Fiber optic,Mailed check,8544.36,No,66+,49-72 Months,0,1,Low
CUST-00016,53,Male,69,60.76,One year,2,Fiber optic,Credit card,4192.44,No,46-55,49-72 Months,0,0,Low
CUST-00017,57,Male,55,129.03,Month-to-month,2,No,Electronic check,7096.65,No,56-65,49-72 Months,0,3,Medium
CUST-00018,41,Female,10,75.71,Month-to-month,4,Fiber optic,Credit card,757.1,No,36-45,7-12 Months,0,4,Medium
CUST-00019,20,Male,42,114.46,Two year,4,DSL,Electronic check,4807.32,No,18-25,25-48 Months,0,1,Low
CUST-00020,39,Female,41,86.31,Month-to-month,3,Fiber optic,Credit card,3538.71,No,36-45,25-48 Months,0,2,Low
